Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2007 Population,Moody's_Bond_Ratings_July_2007,area lmt,EGL,TANF07 Recipients,empl,ACMR,enrollmt,RPA Identifier,ACGLFY07
"ANDOVER","KE",2.0070000000000000e+03,1.0000000000000000e+00,1.0000000000000000e+00,"T",6267423.0000,1218760.0000,7681327.0000,2760235.0000,2438728.0000,7653190.0000,10400028.0000,7507964.0000,253133.0000,9291904.0000,12641.0000,12641.0000,189666.0000,189666.0000,931099.0000,-529852.0000,931099.0000,0.0000,5355433.1739,1540926.0000,6896359.1739,67557.0000,0.0000,612051.0000,"Y",544494.0000,"N","N",7560022.0000,7477090.0000,9.8903019065288433e-01,7749426.0000,7623479.0000,9.8374757046521899e-01,3.1810000000000000e+03,"A3",1.5449999999999999e+01,411321603.9716,4.0000000000000000e+00,3.4253578732106341e-02,4.1299999999999997e+01,6.4539999999999998e+02,"Capital Region COG",177097532.0000
"ANSONIA","KE",2.0070000000000000e+03,2.0000000000000000e+00,2.0000000000000000e+00,"NH",27000343.0000,27026325.0000,54034897.0000,-1292965.0000,24511137.0000,25391667.0000,53732113.0000,29660930.0000,8506553.0000,52816370.0000,0.0000,0.0000,0.0000,0.0000,915743.0000,265223.0000,915743.0000,0.0000,,35390058.0000,35390058.0000,1279283.0000,472157.0000,6833293.0000,"Y",5554010.0000,"N","N",26051162.0000,25172294.0000,9.6626376973126960e-01,27579624.0000,25641097.0000,9.2971162333467638e-01,1.8550000000000000e+04,"A3",6.0300000000000002e+00,1738906846.9879,3.8900000000000000e+02,5.6137875428341061e-02,3.2299999999999997e+01,2.8311399999999999e+03,"Valley COG",803305236.0000
"ASHFORD","KE",2.0070000000000000e+03,3.0000000000000000e+00,3.0000000000000000e+00,"W",9568225.0000,3776726.0000,14025685.0000,552903.0000,4629417.0000,8033841.0000,13390922.0000,9971001.0000,623443.0000,12888049.0000,614805.0000,655510.0000,300685.0000,300685.0000,816993.0000,162946.0000,857698.0000,0.0000,4239072.0000,5111536.0000,9350608.0000,589731.0000,0.0000,3189550.0000,"N",2599819.0000,"N","N",7990034.0000,7858270.0000,9.8350895628228863e-01,8258511.0000,7946103.0000,9.6217138900704979e-01,4.4530000000000000e+03,"A2",3.8799999999999997e+01,502064701.1327,1.8000000000000000e+01,3.8549618320610685e-02,3.3000000000000000e+01,7.5963000000000000e+02,"Windham Region COG",240875408.0000
"AVON","VR",2.0070000000000000e+03,4.0000000000000000e+00,4.0000000000000000e+00,"H",86386400.0000,15331611.0000,101718011.0000,5390527.0000,4265347.0000,54940024.0000,62365447.0000,38966040.0000,4575704.0000,60098481.0000,0.0000,0.0000,2796240.0000,2796240.0000,-529274.0000,-259393.0000,-529274.0000,0.0000,,18785000.0000,18785000.0000,17118.0000,245000.0000,3777433.0000,"N",3760315.0000,"N","N",54780632.0000,54676535.0000,9.9809974810075208e-01,54859950.0000,54710689.0000,9.9727923558078346e-01,1.7333000000000000e+04,"Aaa",2.3120000000000001e+01,3909626628.3472,8.0000000000000000e+00,3.0101428727233068e-02,2.4850000000000001e+01,3.5116700000000001e+03,"Capital Region COG",2187594990.0000
"BARKHAMSTED","VR",2.0070000000000000e+03,5.0000000000000000e+00,5.0000000000000000e+00,"L",3984233.0000,3207797.0000,7192030.0000,840084.0000,1718189.0000,7913331.0000,9952079.0000,7767269.0000,247800.0000,9682000.0000,0.0000,0.0000,477036.0000,477036.0000,-206957.0000,222085.0000,-206957.0000,0.0000,2347503.8116,420000.0000,2767503.8116,35517.0000,500000.0000,1682115.0000,"N",1646598.0000,"N","N",7884337.0000,7764219.0000,9.8476498404368051e-01,8158612.0000,7861723.0000,9.6361035431026754e-01,3.6650000000000000e+03,"A2",3.6219999999999999e+01,528656686.5019,7.0000000000000000e+00,4.0127678978568171e-02,2.6699999999999999e+01,6.6672000000000003e+02,"Litchfield Hills Cncl of Elected Ofcls",293631480.0000
"BEACON FALLS","KE",2.0070000000000000e+03,6.0000000000000000e+00,6.0000000000000000e+00,"NH",6369331.0000,2516981.0000,9555624.0000,-40905.0000,4072234.0000,11680039.0000,15983969.0000,11089390.0000,335193.0000,16157980.0000,155000.0000,204762.0000,0.0000,0.0000,-19011.0000,128877.0000,30751.0000,0.0000,11626951.6340,3387321.0000,15014272.6340,0.0000,0.0000,1211252.0000,"N",1211252.0000,"N","N",11036797.0000,10718821.0000,9.7118946737898681e-01,11968681.0000,11045758.0000,9.2288849539895002e-01,5.7700000000000000e+03,,9.7699999999999996e+00,785305285.3890,1.6000000000000000e+01,4.4042232277526398e-02,3.4060000000000002e+01,1.0358299999999999e+03,"COG of Central Naugatuck Valley",320477264.0000
"BERLIN","KE",2.0070000000000000e+03,7.0000000000000000e+00,7.0000000000000000e+00,"H",59854926.0000,18597437.0000,78606020.0000,5464095.0000,9291106.0000,48565796.0000,64085370.0000,37095815.0000,2819982.0000,62204634.0000,185643.0000,185643.0000,750493.0000,750493.0000,1315886.0000,1567393.0000,1315886.0000,0.0000,,9860000.0000,9860000.0000,0.0000,1300000.0000,9170925.0000,"N",9170925.0000,"N","N",48323207.0000,47880413.0000,9.9083682504764226e-01,49447786.0000,48477983.0000,9.8038733220532870e-01,2.0254000000000000e+04,"Aa3",2.6449999999999999e+01,3194876776.4783,2.6000000000000000e+01,3.7387307760296980e-02,2.8739999999999998e+01,3.3228699999999999e+03,"Central CT RPA",1663795166.0000
"BETHANY","VR",2.0070000000000000e+03,8.0000000000000000e+00,8.0000000000000000e+00,"NH",17537911.0000,4080391.0000,21618302.0000,329658.0000,2146915.0000,14840441.0000,18440138.0000,13332507.0000,3769140.0000,17747299.0000,0.0000,0.0000,350100.0000,350100.0000,342739.0000,656476.0000,342739.0000,0.0000,12208837.5119,8161624.0000,20370461.5119,250000.0000,0.0000,3086258.0000,"N",2836258.0000,"N","N",14712741.0000,14550047.0000,9.8894196533467149e-01,14991008.0000,14700698.0000,9.8063439096290261e-01,5.5660000000000000e+03,"A1",2.0960000000000001e+01,964392268.2971,8.0000000000000000e+00,3.4824281150159744e-02,2.8210000000000001e+01,1.0786700000000001e+03,"South Central Regional COG",518280107.0000
"BETHEL","VR",2.0070000000000000e+03,9.0000000000000000e+00,9.0000000000000000e+00,"F",45591122.0000,-94775.0000,54799432.0000,1793671.0000,10468243.0000,44990513.0000,57255342.0000,36050621.0000,4146715.0000,56162029.0000,0.0000,0.0000,554755.0000,554755.0000,538558.0000,-617111.0000,538558.0000,0.0000,,23730115.0000,23730115.0000,991628.0000,0.0000,6251892.0000,"N",5260264.0000,"Y","N",44581196.0000,44094785.0000,9.8908932366910929e-01,45335820.0000,44511291.0000,9.8181285791235273e-01,1.8514000000000000e+04,"Aa3",1.6789999999999999e+01,3295424221.1555,3.6000000000000000e+01,3.2768571960528764e-02,2.7750000000000000e+01,3.2315000000000000e+03,"Housatonic Council of Elected Ofcls",1613614119.0000
"BETHLEHEM","VR",2.0070000000000000e+03,1.0000000000000000e+01,1.0000000000000000e+01,"L",3921547.0000,1505289.0000,5426836.0000,646788.0000,1441614.0000,7767811.0000,9616589.0000,6841120.0000,169499.0000,9050967.0000,8735.0000,8735.0000,466628.0000,466628.0000,107729.0000,-25885.0000,107729.0000,0.0000,2101489.5100,468092.0000,2569581.5100,0.0000,150000.0000,492406.0000,"N",492406.0000,"N","N",7675166.0000,7528995.0000,9.8095533047754280e-01,7963817.0000,7692237.0000,9.6589826210220553e-01,3.5490000000000000e+03,,1.9359999999999999e+01,638595096.3335,3.0000000000000000e+00,3.7369207772795218e-02,2.1820000000000000e+01,5.6682000000000005e+02,"COG of Central Naugatuck Valley",351599618.0000
"BLOOMFIELD","VR",2.0070000000000000e+03,1.1000000000000000e+01,1.1000000000000000e+01,"H",41966546.0000,-11742779.0000,33315343.0000,-888400.0000,9118469.0000,54031566.0000,68045506.0000,36494139.0000,1855545.0000,65006619.0000,0.0000,0.0000,1764135.0000,1764135.0000,1274752.0000,523978.0000,1274752.0000,0.0000,,17518388.0000,17518388.0000,163136.0000,0.0000,5268931.0000,"N",5105795.0000,"N","N",53838811.0000,52709474.0000,9.7902373809852528e-01,55322326.0000,53498235.0000,9.6702794094377020e-01,2.0693000000000000e+04,"Aa2",2.6010000000000002e+01,3018109847.0261,1.6900000000000000e+02,5.2379527087698295e-02,3.2500000000000000e+01,2.7006100000000001e+03,"Capital Region COG",1715559377.0000
